id,year,category,nominee,artist
1,2019,Record Of The Year,Bad Guy,Billie Eilish
2,2019,Record Of The Year,"Hey, Ma",Bon Iver
3,2019,Record Of The Year,7 rings,Ariana Grande
4,2019,Record Of The Year,Hard Place,H.E.R.
5,2019,Record Of The Year,Talk,Khalid
6,2019,Record Of The Year,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
7,2019,Record Of The Year,Truth Hurts,Lizzo
8,2019,Record Of The Year,Sunflower,Post Malone & Swae Lee
9,2019,Album Of The Year,"When We All Fall Asleep, Where Do We Go?",Billie Eilish
10,2019,Album Of The Year,"I,I",Bon Iver
11,2019,Album Of The Year,Norman F***ing Rockwell!,Lana Del Rey
12,2019,Album Of The Year,"thank u, next",Ariana Grande
13,2019,Album Of The Year,I Used To Know Her,H.E.R.
14,2019,Album Of The Year,7,Lil Nas X
15,2019,Album Of The Year,Cuz I Love You (Deluxe),Lizzo
16,2019,Album Of The Year,Father Of The Bride,Vampire Weekend
4146,1973,Best Jazz Performance By A Group,Supersax Plays Bird,Supersax
33,2019,Best Pop Solo Performance,Truth Hurts,Lizzo
34,2019,Best Pop Solo Performance,Spirit,Beyoncé
35,2019,Best Pop Solo Performance,Bad Guy,Billie Eilish
36,2019,Best Pop Solo Performance,7 rings,Ariana Grande
37,2019,Best Pop Solo Performance,You Need To Calm Down,Taylor Swift
38,2019,Best Pop Duo/Group Performance,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
39,2019,Best Pop Duo/Group Performance,Boyfriend,Ariana Grande & Social House
40,2019,Best Pop Duo/Group Performance,Sucker,Jonas Brothers
41,2019,Best Pop Duo/Group Performance,Sunflower,Post Malone & Swae Lee
42,2019,Best Pop Duo/Group Performance,Señorita,Shawn Mendes & Camila Cabello
43,2019,Best Traditional Pop Vocal Album,Look Now,Elvis Costello & The Imposters
44,2019,Best Traditional Pop Vocal Album,Sì,Andrea Bocelli
45,2019,Best Traditional Pop Vocal Album,Love (Deluxe Edition),Michael Bublé
46,2019,Best Traditional Pop Vocal Album,A Legendary Christmas,John Legend
47,2019,Best Traditional Pop Vocal Album,Walls,Barbra Streisand
48,2019,Best Pop Vocal Album,"When We All Fall Asleep, Where Do We Go?",Billie Eilish
49,2019,Best Pop Vocal Album,The Lion King: The Gift,Beyoncé
50,2019,Best Pop Vocal Album,"thank u, next",Ariana Grande
51,2019,Best Pop Vocal Album,No.6 Collaborations Project,Ed Sheeran
52,2019,Best Pop Vocal Album,Lover,Taylor Swift
53,2019,Best Dance Recording,Got To Keep On,The Chemical Brothers
54,2019,Best Dance Recording,Linked,Bonobo
55,2019,Best Dance Recording,Piece Of Your Heart,Meduza Featuring Goodboys
56,2019,Best Dance Recording,Underwater,RÜFÜS DU SOL
57,2019,Best Dance Recording,Midnight Hour,"Skrillex, Boys Noize & Ty Dolla $ign"
58,2019,Best Dance/Electronic Album,No Geography,The Chemical Brothers
59,2019,Best Dance/Electronic Album,LP5,Apparat
